package;classname;sync-block;sync-method;time-constraint;sum;
com.aelitis.azureus.core.dht.transport;DHTTransportListener;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportProgressListener;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportQueryStoreReply;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportReplyHandler;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportReplyHandlerAdapter;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportRequestHandler;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportStats;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportStoreReply;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportTransferHandler;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportValue;0;0;0;0;
com.aelitis.azureus.core.dht.transport.loopback;DHTTransportLoopbackContactImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.loopback;DHTTransportLoopbackImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.loopback;DHTTransportLoopbackStatsImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp;DHTTransportUDP;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.DHTTransportUDP;Helper;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp;DHTTransportUDPContact;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTTransportAlternativeContactImpl;0;0;1;1;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTTransportAlternativeNetworkImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTTransportUDPContactImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTTransportUDPImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTTransportUDPStatsImpl;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacket;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketData;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketHelper;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReply;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyError;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyFindNode;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyFindValue;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyKeyBlock;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyPing;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyQueryStorage;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyStats;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketReplyStore;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequest;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestFindNode;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestFindValue;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestKeyBlock;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestPing;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestQueryStorage;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestStats;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPPacketRequestStore;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl;DHTUDPUtils;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketHandler;0;0;1;1;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketHandlerException;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketHandlerFactory;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketHandlerStats;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketHandlerStub;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketNetworkHandler;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPPacketReceiver;0;0;0;0;
com.aelitis.azureus.core.dht.transport.udp.impl.packethandler;DHTUDPRequestHandler;0;0;0;0;
com.aelitis.azureus.core.dht.transport.util;DHTTransferHandler;5;0;6;11;
com.aelitis.azureus.core.dht.transport.util.DHTTransferHandler;transferQueue;0;0;0;0;
com.aelitis.azureus.core.dht.transport.util.DHTTransferHandler;transferHandlerInterceptor;0;0;0;0;
com.aelitis.azureus.core.dht.transport.util.DHTTransferHandler;Packet;0;0;0;0;
com.aelitis.azureus.core.dht.transport.util.DHTTransferHandler;Adapter;0;0;0;0;
com.aelitis.azureus.core.dht.transport.util;DHTTransportRequestCounter;0;0;0;0;
com.aelitis.azureus.core.dht.transport.util;DHTTransportStatsImpl;0;0;1;1;
com.aelitis.azureus.core.diskmanager.access;DiskAccessController;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access;DiskAccessControllerFactory;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access;DiskAccessControllerStats;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access;DiskAccessRequest;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access;DiskAccessRequestListener;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access.impl;DiskAccessControllerImpl;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access.impl;DiskAccessControllerInstance;0;0;0;0;
com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance;requestDispatcher;4;0;1;5;
com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance;groupSemaphore;2;0;0;2;
com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance.groupSemaphore;mutableInteger;2;0;1;3;
com.aelitis.azureus.core.diskmanager.access.impl;DiskAccessRequestImpl;0;0;0;0;
com.aelitis.azureus.core.diskmanager.cache;CacheFile;0;0;0;0;
com.aelitis.azureus.core.diskmanager.cache;CacheFileManager;0;0;0;0;
com.aelitis.azureus.core.diskmanager.cache;CacheFileManagerException;0;0;0;0;
com.aelitis.azureus.core.diskmanager.cache;CacheFileManagerFactory;0;0;0;0;
com.aelitis.azureus.core.diskmanager.cache;CacheFileManagerStats;0;0;0;0;
